Route,Departure,Arrival,Carrier,Code
PTY-MAO,PTY,MAO,UA,C
PTY-MAR,PTY,MAR,CM,
PTY-MAR,PTY,MAR,WW,
PTY-MBJ,PTY,MBJ,CM,
PTY-MBJ,PTY,MBJ,KL,C
PTY-MCO,PTY,MCO,CM,
PTY-MCO,PTY,MCO,UA,C
PTY-MDE,PTY,MDE,CM,
PTY-MDE,PTY,MDE,KL,C
PTY-MDE,PTY,MDE,P5,W
PTY-MDE,PTY,MDE,UA,C
PTY-MDZ,PTY,MDZ,CM,
PTY-MEC,PTY,MEC,CM,
PTY-MEX,PTY,MEX,CM,
PTY-MEX,PTY,MEX,EK,C
PTY-MGA,PTY,MGA,AF,C
PTY-MGA,PTY,MGA,CM,
PTY-MGA,PTY,MGA,IB,C
PTY-MGA,PTY,MGA,KL,C
PTY-MGA,PTY,MGA,TK,C
PTY-MGA,PTY,MGA,UX,C
PTY-MIA,PTY,MIA,AA,
PTY-MIA,PTY,MIA,BA,C
PTY-MIA,PTY,MIA,CM,
PTY-MIA,PTY,MIA,IB,C
PTY-MIA,PTY,MIA,QR,C
PTY-MIA,PTY,MIA,UA,C
PTY-MTY,PTY,MTY,CM,
PTY-MVD,PTY,MVD,CM,
PTY-MVD,PTY,MVD,TK,C
PTY-MVD,PTY,MVD,UA,C
PTY-NAS,PTY,NAS,CM,
PTY-NLU,PTY,NLU,CM,
PTY-ORD,PTY,ORD,BR,C
PTY-ORD,PTY,ORD,CM,
PTY-ORD,PTY,ORD,UA,C
PTY-PAP,PTY,PAP,S6,
PTY-PBM,PTY,PBM,CM,
PTY-PEI,PTY,PEI,CM,
PTY-PEI,PTY,PEI,KL,C
PTY-PEI,PTY,PEI,UA,C
PTY-POA,PTY,POA,AD,C
PTY-POA,PTY,POA,CM,
PTY-POA,PTY,POA,G3,C
PTY-POS,PTY,POS,AF,C
PTY-POS,PTY,POS,AV,C
PTY-POS,PTY,POS,CM,
PTY-POS,PTY,POS,KL,C
PTY-POS,PTY,POS,TK,C
PTY-PUJ,PTY,PUJ,CM,
PTY-ROS,PTY,ROS,CM,
PTY-SAL,PTY,SAL,AF,C
PTY-SAL,PTY,SAL,AV,C
PTY-SAL,PTY,SAL,CM,
PTY-SAL,PTY,SAL,IB,C
PTY-SAL,PTY,SAL,KL,C
PTY-SAL,PTY,SAL,TK,C
PTY-SAL,PTY,SAL,UX,C
PTY-SAP,PTY,SAP,CM,
PTY-SAP,PTY,SAP,KL,C
PTY-SCL,PTY,SCL,CM,
PTY-SCL,PTY,SCL,KL,C
PTY-SCL,PTY,SCL,TK,C
PTY-SDQ,PTY,SDQ,CM,
PTY-SDQ,PTY,SDQ,TK,C
PTY-SFO,PTY,SFO,CM,
PTY-SFO,PTY,SFO,UA,C
PTY-SJO,PTY,SJO,AF,C
PTY-SJO,PTY,SJO,AV,C
PTY-SJO,PTY,SJO,CM,
PTY-SJO,PTY,SJO,IB,C
PTY-SJO,PTY,SJO,KL,C
PTY-SJO,PTY,SJO,TK,C
PTY-SJO,PTY,SJO,UX,C
PTY-SJU,PTY,SJU,CM,
PTY-SJU,PTY,SJU,KL,C
PTY-SMR,PTY,SMR,CM,
PTY-SNU,PTY,SNU,CM,
PTY-SXM,PTY,SXM,CM,
PTY-TPA,PTY,TPA,CM,
PTY-TPA,PTY,TPA,UA,C
PTY-UIO,PTY,UIO,AF,C
PTY-UIO,PTY,UIO,CM,
PTY-UIO,PTY,UIO,KL,C
PTY-UIO,PTY,UIO,TK,C
PTY-VLN,PTY,VLN,CM,
PTY-VLN,PTY,VLN,T9,
PTY-VVI,PTY,VVI,CM,
PTY-VVI,PTY,VVI,UA,C
PTY-XPL,PTY,XPL,AF,C
PTY-XPL,PTY,XPL,CM,
PTY-XPL,PTY,XPL,IB,C
PTY-XPL,PTY,XPL,KL,C
PTY-YUL,PTY,YUL,CM,
PTY-YYZ,PTY,YYZ,AC,
PTY-YYZ,PTY,YYZ,CM,
PUJ-PTY,PUJ,PTY,CM,
PUJ-PTY,PUJ,PTY,TK,C
ROS-PTY,ROS,PTY,CM,
SAL-PTY,SAL,PTY,AF,C
SAL-PTY,SAL,PTY,AV,C
SAL-PTY,SAL,PTY,CM,
SAL-PTY,SAL,PTY,IB,C
SAL-PTY,SAL,PTY,KL,C
SAL-PTY,SAL,PTY,TK,C
SAL-PTY,SAL,PTY,UX,C
SAP-PTY,SAP,PTY,CM,
SAP-PTY,SAP,PTY,KL,C
SAP-PTY,SAP,PTY,TK,C
SCL-PTY,SCL,PTY,CM,
SCL-PTY,SCL,PTY,KL,C
SCL-PTY,SCL,PTY,TK,C
SDQ-PTY,SDQ,PTY,CM,
SDQ-PTY,SDQ,PTY,TK,C
SFO-PTY,SFO,PTY,BR,C
SFO-PTY,SFO,PTY,CM,
SFO-PTY,SFO,PTY,UA,C
SJO-PTY,SJO,PTY,AF,C
SJO-PTY,SJO,PTY,AV,C
SJO-PTY,SJO,PTY,CM,
SJO-PTY,SJO,PTY,IB,C
SJO-PTY,SJO,PTY,KL,C
SJO-PTY,SJO,PTY,TK,C
SJO-PTY,SJO,PTY,UX,C
SJU-PTY,SJU,PTY,CM,
SJU-PTY,SJU,PTY,KL,C
SMR-PTY,SMR,PTY,CM,
SNU-PTY,SNU,PTY,CM,
SXM-PTY,SXM,PTY,CM,
TGU-PTY,TGU,PTY,IB,C
TPA-PTY,TPA,PTY,CM,
TPA-PTY,TPA,PTY,UA,C
UIO-PTY,UIO,PTY,AF,C
